2026-07-03 11:33:55 | status=AWAKE | score=80 | risk_level=CRITICAL | avg_ear=0.254 | closed_duration=0.0
2026-07-03 11:34:06 | status=EYES_CLOSED | score=70 | risk_level=RISKY | avg_ear=0.191 | closed_duration=1.9
2026-07-03 11:34:16 | status=AWAKE | score=80 | risk_level=CRITICAL | avg_ear=0.279 | closed_duration=0.0
2026-07-03 11:34:26 | status=AWAKE | score=80 | risk_level=CRITICAL | avg_ear=0.224 | closed_duration=0.0
2026-07-03 11:34:36 | status=AWAKE | score=100 | risk_level=CRITICAL | avg_ear=0.322 | closed_duration=0.0
2026-07-03 11:34:46 | status=AWAKE | score=80 | risk_level=CRITICAL | avg_ear=0.265 | closed_duration=0.0
2026-07-03 11:34:56 | status=AWAKE | score=100 | risk_level=CRITICAL | avg_ear=0.310 | closed_duration=0.0
2026-07-03 11:35:06 | status=AWAKE | score=80 | risk_level=CRITICAL | avg_ear=0.278 | closed_duration=0.0
2026-07-03 11:35:16 | status=AWAKE | score=80 | risk_level=CRITICAL | avg_ear=0.239 | closed_duration=0.0
2026-07-03 11:35:26 | status=AWAKE | score=80 | risk_level=CRITICAL | avg_ear=0.238 | closed_duration=0.0
2026-07-03 11:35:36 | status=DROWSY | score=80 | risk_level=CRITICAL | avg_ear=0.152 | closed_duration=9.9
2026-07-03 11:35:46 | status=AWAKE | score=100 | risk_level=CRITICAL | avg_ear=0.307 | closed_duration=0.0
2026-07-03 12:02:23 | status=AWAKE | score=80 | risk_level=CRITICAL | avg_ear=0.286 | closed_duration=0.0
2026-07-03 12:02:41 | status=DROWSY | score=80 | risk_level=CRITICAL | avg_ear=0.168 | closed_duration=9.0
2026-07-03 12:02:55 | status=AWAKE | score=80 | risk_level=CRITICAL | avg_ear=0.226 | closed_duration=0.0
2026-07-03 12:03:06 | status=AWAKE | score=80 | risk_level=CRITICAL | avg_ear=0.253 | closed_duration=0.0
2026-07-03 12:03:16 | status=AWAKE | score=100 | risk_level=CRITICAL | avg_ear=0.342 | closed_duration=0.0
2026-07-03 12:03:26 | status=AWAKE | score=100 | risk_level=CRITICAL | avg_ear=0.301 | closed_duration=0.0
2026-07-03 12:03:38 | status=DROWSY | score=80 | risk_level=CRITICAL | avg_ear=0.183 | closed_duration=6.8
2026-07-03 12:03:48 | status=AWAKE | score=100 | risk_level=CRITICAL | avg_ear=0.305 | closed_duration=0.0
2026-07-03 12:03:58 | status=AWAKE | score=100 | risk_level=CRITICAL | avg_ear=0.334 | closed_duration=0.0
2026-07-03 12:04:07 | status=AWAKE | score=100 | risk_level=CRITICAL | avg_ear=0.334 | closed_duration=0.0
